kabupaten,tahun,IPM
Tangerang,2021,72.29
Serang,2021,66.82
Kota Tangerang,2021,78.5
Kota Cilegon,2021,73.35
Kota Serang,2021,72.44
Kota Tangerang Selatan,2021,81.6
Jembrana,2021,72.75
Tabanan,2021,76.45
Badung,2021,81.83
Gianyar,2021,77.7
Klungkung,2021,71.75
Bangli,2021,69.37
Karangasem,2021,67.36
Buleleng,2021,72.56
Kota Denpasar,2021,84.03
Lombok Barat,2021,68.61
Lombok Tengah,2021,66.72
Lombok Timur,2021,66.66
Sumbawa,2021,68.01
Dompu,2021,68.45
Bima,2021,66.66
Sumbawa Barat,2021,71.85
Lombok Utara,2021,64.77
Kota Mataram,2021,79.14
Kota Bima,2021,76.11
Sumba Barat,2021,63.83
Sumba Timur,2021,65.74
Kupang,2021,64.41
Timor Tengah Selatan,2021,62.16
Timor Tengah Utara,2021,63.69
Belu,2021,62.77
Alor,2021,61.37
Lembata,2021,64.75
Flores Timur,2021,64.22
Sikka,2021,65.41
Ende,2021,67.3
Ngada,2021,67.88
Manggarai,2021,65.01
Rote Ndao,2021,62.6
Manggarai Barat,2021,64.17
Sumba Tengah,2021,61.8
Sumba Barat Daya,2021,62.29
Nagekeo,2021,65.82
Manggarai Timur,2021,61.37
Sabu Raijua,2021,57.03
Malaka,2021,60.42
Kota Kupang,2021,79.74
Sambas,2021,67.1
Bengkayang,2021,68.04
Landak,2021,66.21
Mempawah,2021,66.03
Sanggau,2021,66.2
Ketapang,2021,67.43
Sintang,2021,66.93
Kapuas Hulu,2021,65.75
Sekadau,2021,64.93
Melawi,2021,65.87
Kayong Utara,2021,62.9
Kubu Raya,2021,68.16
Kota Pontianak,2021,79.93
Kota Singkawang,2021,72.11
Kotawaringin Barat,2021,73.07
Kotawaringin Timur,2021,71.38
Kapuas,2021,69.63
Barito Selatan,2021,70.54
Barito Utara,2021,70.79
Sukamara,2021,68.27
Lamandau,2021,70.58
Seruyan,2021,67.67
Katingan,2021,68.89
Pulang Pisau,2021,68.53
Gunung Mas,2021,71.03
Barito Timur,2021,71.47
Murung Raya,2021,68.12
Kota Palangka Raya,2021,80.82
Tanah Laut,2021,69.87
Kotabaru,2021,69.13
Banjar,2021,69.89
Barito Kuala,2021,66.64
Tapin,2021,70.31
Hulu Sungai Selatan,2021,69.21
Hulu Sungai Tengah,2021,69.05
Hulu Sungai Utara,2021,66.12
Tabalong,2021,72.6
Tanah Bumbu,2021,71
Balangan,2021,69.11
Kota Banjarmasin,2021,77.57
Kota Banjar Baru,2021,79.26
Paser,2021,72.93
Kutai Barat,2021,72.07
Kutai Kartanegara,2021,74.06
Kutai Timur,2021,73.81
Berau,2021,75.2
Penajam Paser Utara,2021,72.01
Mahakam Ulu,2021,67.95
Kota Balikpapan,2021,80.71
Kota Samarinda,2021,80.76
Kota Bontang,2021,80.59
Malinau,2021,72.32
Bulungan,2021,71.8
Tana Tidung,2021,67.76
Nunukan,2021,66.46
Kota Tarakan,2021,76.23
Bolaang Mongondow,2021,68.16
Minahasa,2021,75.73
Kepulauan Sangihe,2021,71.07
Kepulauan Talaud,2021,69.83
Minahasa Selatan,2021,72.32
Minahasa Utara,2021,74.11
Bolaang Mongondow Utara,2021,67.39
Siau Tagulandang Biaro,2021,68.05
Minahasa Tenggara,2021,71.06
Bolaang Mongondow Selatan,2021,65.42
Bolaang Mongondow Timur,2021,66.55
Kota Manado,2021,79.2
Kota Bitung,2021,74.2
Kota Tomohon,2021,76.86
Kota Kotamobagu,2021,73.47
Banggai Kepulauan,2021,65.61
Banggai,2021,70.6
Morowali,2021,72.29
Poso,2021,71.45
Donggala,2021,65.72
Toli-Toli,2021,66.3
Buol,2021,68.25
Parigi Moutong,2021,65.82
Tojo Una-Una,2021,64.74
Sigi,2021,68.49
Banggai Laut,2021,65.65
Morowali Utara,2021,68.48
Kota Palu,2021,81.7
Kepulauan Selayar,2021,67.76
Bulukumba,2021,69.62
Bantaeng,2021,68.99
Jeneponto,2021,64.56
Takalar,2021,67.72
Gowa,2021,70.29
Sinjai,2021,67.75
Maros,2021,70.41
Pangkajene dan Kepulauan,2021,69.21
Barru,2021,71.13
Bone,2021,66.4
Soppeng,2021,68.99
Wajo,2021,69.62
Sidenreng Rappang,2021,71.54
Pinrang,2021,71.45
Enrekang,2021,72.91
Luwu,2021,70.85
Tana Toraja,2021,69.49
Luwu Utara,2021,70.02
Luwu Timur,2021,73.34
Toraja Utara,2021,69.75
Kota Makasar,2021,82.66
Kota Parepare,2021,78.21
Kota Palopo,2021,78.38
Buton,2021,66.32
Muna,2021,69.17
Konawe,2021,71.48
Kolaka,2021,73.56
Konawe Selatan,2021,68.58
Bombana,2021,66.25
Wakatobi,2021,69.87
Kolaka Utara,2021,69.5
Buton Utara,2021,68.08
Konawe Utara,2021,70.23
Kolaka Timur,2021,67.76
Konawe Kepulauan,2021,65.73
Muna Barat,2021,65.48
Buton Tengah,2021,64.55
Buton Selatan,2021,64.99
Kota Kendari,2021,84.15
Kota Baubau,2021,76.26
Boalemo,2021,66.42
Gorontalo,2021,67.34
Pohuwato,2021,65.8
Bone Bolango,2021,70.25
Gorontalo Utara,2021,65.21
Kota Gorontalo,2021,77.41
Majene,2021,67.29
Polewali Mandar,2021,64.23
Mamasa,2021,66.63
Mamuju,2021,68.32
Mamuju Utara / Pasangkayu,2021,68.03
Mamuju Tengah,2021,66.18
Maluku Tenggara Barat / Kepulauan Tanimbar,2021,62.97
Maluku Tenggara,2021,66.33
Maluku Tengah,2021,71.32
Buru,2021,69.33
Kepulauan Aru,2021,63.83
Seram Bagian Barat,2021,65.83
Seram Bagian Timur,2021,64.3
Maluku Barat Daya,2021,62.37
Buru Selatan,2021,64.8
Kota Ambon,2021,81.23
Kota Tual,2021,68.16
Halmahera Barat,2021,65.56
Halmahera Tengah,2021,65.82
Kepulauan Sula,2021,63.8
Halmahera Selatan,2021,64.19
Halmahera Utara,2021,67.82
Halmahera Timur,2021,67
Pulau Morotai,2021,62.9
Pulau Taliabu,2021,60.73
Kota Ternate,2021,80.14
Kota Tidore Kepulauan,2021,70.99
Fakfak,2021,68.52
Kaimana,2021,65.31
Teluk Wondama,2021,60.33
Teluk Bintuni,2021,64.65
Manokwari,2021,72.02
Sorong Selatan,2021,62.46
Sorong,2021,65.77
Raja Ampat,2021,63.92
Tambrauw,2021,53.71
Maybrat,2021,59.7
Manokwari Selatan,2021,59.85
Pegunungan Arfak,2021,56.13
Kota Sorong,2021,78.49
Merauke,2021,70.49
Jayawijaya,2021,58.67
Jayapura,2021,72.03
Nabire,2021,69.15
Kepulauan Yapen,2021,67.72
Biak Numfor,2021,72.33
Paniai,2021,56.7
Puncak Jaya,2021,48.99
Mimika,2021,74.48
Boven Digoel,2021,61.62
Mappi,2021,58.7
Asmat,2021,51.29
Yahukimo,2021,49.48
Pegunungan Bintang,2021,46.28
Tolikara,2021,49.6
Sarmi,2021,63.94
Keerom,2021,66.49
Waropen,2021,65.1
Supiori,2021,62.72
Mamberamo Raya,2021,52.18
Nduga,2021,32.84
Lanny Jaya,2021,48.68
Mamberamo Tengah,2021,48.32
Yalimo,2021,49.01
Puncak,2021,43.17
Dogiyai,2021,55
Intan Jaya,2021,48.34
Deiyai,2021,49.96
Kota Jayapura,2021,80.11
Simeulue,2022,67.27
Aceh Singkil,2022,69.62
Aceh Selatan,2022,67.87
Aceh Tenggara,2022,70.32
Aceh Timur,2022,68.72
Aceh Tengah,2022,73.95
Aceh Barat,2022,72.34
Aceh Besar,2022,74
Pidie,2022,71.2
Bireuen,2022,73.16
Aceh Utara,2022,70.22
Aceh Barat Daya,2022,67.41
Gayo Lues,2022,68.25
Aceh Tamiang,2022,70.43
Nagan Raya,2022,70.1
Aceh Jaya,2022,70.36
Bener Meriah,2022,73.9
Pidie Jaya,2022,74.34
Kota Banda Aceh,2022,86.28
Kota Sabang,2022,76.85
Kota Langsa,2022,77.82
Kota Lhokseumawe,2022,78.04
Kota Subulussalam,2022,66.2
Nias,2022,63.69
Mandailing Natal,2022,68.05
Tapanuli Selatan,2022,70.92
Tapanuli Tengah,2022,70.31
Tapanuli Utara,2022,74.14
Toba Samosir / Toba,2022,75.96
Labuhan Batu,2022,72.92
Asahan,2022,71.13
Simalungun,2022,73.77
Dairi,2022,72.56
Karo,2022,75.36
Deli Serdang,2022,76.19
Langkat,2022,71.86
Nias Selatan,2022,63.17
Humbang Hasundutan,2022,70.32
Pakpak Bharat,2022,68.85
Samosir,2022,71.67
Serdang Bedagai,2022,71.21
Batu Bara,2022,69.51
Padang Lawas Utara,2022,70.93
Padang Lawas,2022,69.58
Labuhan Batu Selatan,2022,72.16
Labuhan Batu Utara,2022,72.77
Nias Utara,2022,63.75
Nias Barat,2022,62.93
Kota Sibolga,2022,74.74
Kota Tanjung Balai,2022,69.86
Kota Pematang Siantar,2022,79.7
Kota Tebing Tinggi,2022,76.17
Kota Medan,2022,81.76
Kota Binjai,2022,76.95
Kota Padangsidimpuan,2022,76.05
Kota Gunungsitoli,2022,70.23
Kepulauan Mentawai,2022,62.19
Pesisir Selatan,2022,70.84
Solok,2022,70.02
Sijunjung,2022,68.69
Tanah Datar,2022,73.29
Padang Pariaman,2022,71.63
Agam,2022,73.29
Lima Puluh Kota,2022,70.28
Pasaman,2022,67.41
Solok Selatan,2022,69.71
Dharmasraya,2022,72.3
Pasaman Barat,2022,69.57
Kota Padang,2022,83.29
Kota Solok,2022,79.23
Kota Sawah Lunto,2022,73.73
Kota Padang Panjang,2022,78.78
Kota Bukittinggi,2022,81.42
Kota Payakumbuh,2022,79.53
Kota Pariaman,2022,77.65
Kuantan Singingi,2022,71.09
Indragiri Hulu,2022,70.46
Indragiri Hilir,2022,67.37
Pelalawan,2022,72.93
Siak,2022,74.5
Kampar,2022,73.84
Rokan Hulu,2022,70.31
Bengkalis,2022,74.38
Rokan Hilir,2022,70.1
Kepulauan Meranti,2022,66.52
Kota Pekanbaru,2022,82.06
Kota Dumai,2022,75.26
Kerinci,2022,71.99
Merangin,2022,69.98
Sarolangun,2022,70.89
Batang Hari,2022,70.51
Muaro Jambi,2022,70.18
Tanjung Jabung Timur,2022,65.77
Tanjung Jabung Barat,2022,68.79
Tebo,2022,69.78
Bungo,2022,70.55
Kota Jambi,2022,79.58
Kota Sungai Penuh,2022,76.17
Ogan Komering Ulu,2022,70.24
Ogan Komering Ilir,2022,68.02
Muara Enim,2022,69.43
Lahat,2022,68.4
Musi Rawas,2022,67.78
Musi Banyuasin,2022,68.6
Banyu Asin,2022,67.93
Ogan Komering Ulu Selatan,2022,65.87
Ogan Komering Ulu Timur,2022,70.23
Ogan Ilir,2022,67.96
Empat Lawang,2022,66
Penukal Abab Lematang Ilir,2022,65.75
Musi Rawas Utara,2022,65.74
Kota Palembang,2022,79.47
Kota Prabumulih,2022,75.52
Kota Pagar Alam,2022,69.6
Kota Lubuklinggau,2022,75.53
Bengkulu Selatan,2022,71.42
Rejang Lebong,2022,71.45
Bengkulu Utara,2022,69.77
Kaur,2022,67.77
Seluma,2022,67.76
Mukomuko,2022,69.12
Lebong,2022,68.12
Kepahiang,2022,69.09
Bengkulu Tengah,2022,68.47
Kota Bengkulu,2022,80.99
Lampung Barat,2022,68.39
Tanggamus,2022,67.22
Lampung Selatan,2022,69
Lampung Timur,2022,70.58
Lampung Tengah,2022,70.8
Lampung Utara,2022,68.33
Way Kanan,2022,68.04
Tulangbawang,2022,69.53
Pesawaran,2022,66.7
Pringsewu,2022,70.98
Mesuji,2022,64.94
Tulang Bawang Barat,2022,67.13
Pesisir Barat,2022,65.14
Kota Bandar Lampung,2022,78.01
Kota Metro,2022,77.89
Bangka,2022,72.95
Belitung,2022,73.38
Bangka Barat,2022,70.12
Bangka Tengah,2022,71.4
Bangka Selatan,2022,67.95
Belitung Timur,2022,72.29
Kota Pangkal Pinang,2022,79.24
Karimun,2022,72.65
Bintan,2022,74.99
Natuna,2022,73.47
Lingga,2022,66.57
Kepulauan Anambas,2022,69.61
Kota Batam,2022,81.67
Kota Tanjung Pinang,2022,79.64
Kep. Seribu,2022,72.79
Kota Jakarta Selatan,2022,85.21
Kota Jakarta Timur,2022,83.45
Kota Jakarta Pusat,2022,82.11
Kota Jakarta Barat,2022,82.51
Kota Jakarta Utara,2022,80.81
Bogor,2022,71.2
Sukabumi,2022,67.64
Cianjur,2022,65.94
Bandung,2022,73.16
Garut,2022,67.41
Tasikmalaya,2022,66.84
Ciamis,2022,71.45
Kuningan,2022,70.16
Cirebon,2022,70.06
Majalengka,2022,68.56
Sumedang,2022,72.69
Indramayu,2022,68.55
Subang,2022,69.87
Purwakarta,2022,71.56
Karawang,2022,71.74
Bekasi,2022,75.22
Bandung Barat,2022,69.04
Pangandaran,2022,69.03
Kota Bogor,2022,77.17
Kota Sukabumi,2022,75.4
Kota Bandung,2022,82.5
Kota Cirebon,2022,75.89
Kota Bekasi,2022,82.46
Kota Depok,2022,81.86
Kota Cimahi,2022,78.77
Kota Tasikmalaya,2022,73.83
Kota Banjar,2022,72.55
Cilacap,2022,70.99
Banyumas,2022,73.17
Purbalingga,2022,69.54
Banjarnegara,2022,68.61
Kebumen,2022,70.79
Purworejo,2022,73.6
Wonosobo,2022,68.89
Magelang,2022,70.85
Boyolali,2022,74.97
Klaten,2022,76.95
Sukoharjo,2022,77.94
Wonogiri,2022,71.04
Karanganyar,2022,76.58
Sragen,2022,74.65
Grobogan,2022,70.97
Blora,2022,69.95
Rembang,2022,71
Pati,2022,73.14
Kudus,2022,75.89
Jepara,2022,73.15
Demak,2022,73.36
Semarang,2022,74.67
Temanggung,2022,70.77
Kendal,2022,73.19
Batang,2022,69.45
Pekalongan,2022,70.81
Pemalang,2022,67.19
Tegal,2022,69.53
Brebes,2022,67.03
Kota Magelang,2022,80.39
Kota Surakarta,2022,83.08
Kota Salatiga,2022,84.35
Kota Semarang,2022,84.08
Kota Pekalongan,2022,75.9
Kota Tegal,2022,76.15
Kulon Progo,2022,75.46
Bantul,2022,80.69
Gunung Kidul,2022,70.96
Sleman,2022,84.31
Kota Yogyakarta,2022,87.69
Pacitan,2022,69.37
Ponorogo,2022,71.87
Trenggalek,2022,71
Tulungagung,2022,74.06
Blitar,2022,71.86
Kediri,2022,73.46
Malang,2022,71.38
Lumajang,2022,66.95
Jember,2022,67.97
Banyuwangi,2022,71.94
Bondowoso,2022,67.31
Situbondo,2022,68.25
Probolinggo,2022,66.96
Pasuruan,2022,69.68
Sidoarjo,2022,81.02
Mojokerto,2022,74.89
Jombang,2022,74.05
Nganjuk,2022,72.93
Madiun,2022,72.39
Magetan,2022,74.85
Ngawi,2022,71.75
Bojonegoro,2022,70.12
Tuban,2022,69.67
Lamongan,2022,74.02
Gresik,2022,77.16
Bangkalan,2022,65.05
Sampang,2022,63.39
Pamekasan,2022,66.99
Sumenep,2022,67.87
Kota Kediri,2022,79.59
Kota Blitar,2022,79.93
Kota Malang,2022,82.71
Kota Probolinggo,2022,74.56
Kota Pasuruan,2022,76.54
Kota Mojokerto,2022,79.32
Kota Madiun,2022,82.01
Kota Surabaya,2022,82.74
Kota Batu,2022,77.22
Pandeglang,2022,65.84
Lebak,2022,64.71
Tangerang,2022,72.97
Serang,2022,67.75
Kota Tangerang,2022,78.9
Kota Cilegon,2022,73.95
Kota Serang,2022,72.98
Kota Tangerang Selatan,2022,81.95
Jembrana,2022,73.58
Tabanan,2022,76.75
Badung,2022,82.13
Gianyar,2022,78.39
Klungkung,2022,72.55
Bangli,2022,70.26
Karangasem,2022,68.28
Buleleng,2022,73.45
Kota Denpasar,2022,84.37
Lombok Barat,2022,69.41
Lombok Tengah,2022,67.57
Lombok Timur,2022,67.59
Sumbawa,2022,68.89
Dompu,2022,69.15
Bima,2022,67.57
Sumbawa Barat,2022,72.65
Lombok Utara,2022,65.7
Kota Mataram,2022,79.59
Kota Bima,2022,76.84
Sumba Barat,2022,64.43
Sumba Timur,2022,66.17
Kupang,2022,65.04
Timor Tengah Selatan,2022,62.73
Timor Tengah Utara,2022,64.26
Belu,2022,63.22
Alor,2022,62.26
Lembata,2022,65.47
Flores Timur,2022,64.93
Sikka,2022,66.06
Ende,2022,67.97
Ngada,2022,68.26
Manggarai,2022,65.83
Rote Ndao,2022,63.21
Manggarai Barat,2022,64.92
Sumba Tengah,2022,62.71
Sumba Barat Daya,2022,63.15
Nagekeo,2022,66.22
Manggarai Timur,2022,62.3
Sabu Raijua,2022,57.9
Malaka,2022,61.34
Kota Kupang,2022,80.2
Sambas,2022,67.95
Bengkayang,2022,68.74
Landak,2022,67.17
Mempawah,2022,66.94
Sanggau,2022,66.91
Ketapang,2022,67.92
Sintang,2022,67.86
Kapuas Hulu,2022,66.7
Sekadau,2022,65.58
Melawi,2022,66.81
Kayong Utara,2022,63.81
Kubu Raya,2022,68.91
Kota Pontianak,2022,80.48
Kota Singkawang,2022,72.89
Kotawaringin Barat,2022,73.41
Kotawaringin Timur,2022,71.67
Kapuas,2022,70.01
Barito Selatan,2022,71.01
Barito Utara,2022,71.21
Sukamara,2022,68.94
Lamandau,2022,71.11
Seruyan,2022,68.24
Katingan,2022,69.74
Pulang Pisau,2022,69.01
Gunung Mas,2022,71.4
Barito Timur,2022,72.07
Murung Raya,2022,68.63
Kota Palangka Raya,2022,81.16
Tanah Laut,2022,70.35
Kotabaru,2022,69.74
Banjar,2022,70.72
Barito Kuala,2022,67.37
Tapin,2022,71.02
Hulu Sungai Selatan,2022,69.76
Hulu Sungai Tengah,2022,69.7
Hulu Sungai Utara,2022,66.84
Tabalong,2022,73.13
Tanah Bumbu,2022,71.79
Balangan,2022,69.73
Kota Banjarmasin,2022,77.97
Kota Banjar Baru,2022,79.68
Paser,2022,73.44
Kutai Barat,2022,72.92
Kutai Kartanegara,2022,74.67
Kutai Timur,2022,74.35
Berau,2022,75.74
Penajam Paser Utara,2022,72.55
Mahakam Ulu,2022,68.75
Kota Balikpapan,2022,81.13
Kota Samarinda,2022,81.43
Kota Bontang,2022,80.94
Malinau,2022,72.75
Bulungan,2022,72.08
Tana Tidung,2022,68.6
Nunukan,2022,67.16
Kota Tarakan,2022,76.68
Bolaang Mongondow,2022,68.95
Minahasa,2022,76.18
Kepulauan Sangihe,2022,71.63
Kepulauan Talaud,2022,70.43
Minahasa Selatan,2022,72.89
Minahasa Utara,2022,74.69
Bolaang Mongondow Utara,2022,68.06
Siau Tagulandang Biaro,2022,68.94
Minahasa Tenggara,2022,71.48
Bolaang Mongondow Selatan,2022,65.9
Bolaang Mongondow Timur,2022,67.21
Kota Manado,2022,79.66
Kota Bitung,2022,74.7
Kota Tomohon,2022,77.44
Kota Kotamobagu,2022,73.96
Banggai Kepulauan,2022,66.08
Banggai,2022,71.08
Morowali,2022,72.55
Poso,2022,71.93
Donggala,2022,66.25
Toli-Toli,2022,66.76
Buol,2022,68.72
Parigi Moutong,2022,66.26
Tojo Una-Una,2022,65.54
Sigi,2022,69.05
Banggai Laut,2022,66.22
Morowali Utara,2022,68.97
Kota Palu,2022,82.02
Kepulauan Selayar,2022,68.35
Bulukumba,2022,70.34
Bantaeng,2022,69.69
Jeneponto,2022,65.13
Takalar,2022,68.31
Gowa,2022,70.99
Sinjai,2022,68.33
Maros,2022,71
Pangkajene dan Kepulauan,2022,69.79
Barru,2022,71.53
Bone,2022,67.01
Soppeng,2022,69.7
Wajo,2022,70.26
Sidenreng Rappang,2022,72.06
Pinrang,2022,71.97
Enrekang,2022,73.39
Luwu,2022,71.36
Tana Toraja,2022,69.88
Luwu Utara,2022,70.51
Luwu Timur,2022,73.92
Toraja Utara,2022,70.36
Kota Makasar,2022,83.12
Kota Parepare,2022,78.54
Kota Palopo,2022,78.91
Buton,2022,67.23
Muna,2022,69.61
Konawe,2022,72.04
Kolaka,2022,73.98
Konawe Selatan,2022,69.36
Bombana,2022,66.81
Wakatobi,2022,70.85
Kolaka Utara,2022,70.39
Buton Utara,2022,69
Konawe Utara,2022,71.1
Kolaka Timur,2022,68.73
Konawe Kepulauan,2022,66.69
Muna Barat,2022,66.21
Buton Tengah,2022,65.29
Buton Selatan,2022,65.44
Kota Kendari,2022,84.51
Kota Baubau,2022,76.67
Boalemo,2022,67.27
Gorontalo,2022,68.28
Pohuwato,2022,66.53
Bone Bolango,2022,70.9
Gorontalo Utara,2022,66.01
Kota Gorontalo,2022,78.22
Majene,2022,67.84
Polewali Mandar,2022,64.79
Mamasa,2022,67.21
Mamuju,2022,68.88
Mamuju Utara / Pasangkayu,2022,68.61
Mamuju Tengah,2022,66.89
Maluku Tenggara Barat / Kepulauan Tanimbar,2022,63.45
Maluku Tenggara,2022,66.88
Maluku Tengah,2022,71.81
Buru,2022,69.94
Kepulauan Aru,2022,64.21
Seram Bagian Barat,2022,66.67
Seram Bagian Timur,2022,65.05
Maluku Barat Daya,2022,63.07
Buru Selatan,2022,65.37
Kota Ambon,2022,81.63
Kota Tual,2022,68.6
Halmahera Barat,2022,66.2
Halmahera Tengah,2022,66.49
Kepulauan Sula,2022,64.7
Halmahera Selatan,2022,65.06
Halmahera Utara,2022,68.38
Halmahera Timur,2022,67.93
Pulau Morotai,2022,63.8
Pulau Taliabu,2022,61.64
Kota Ternate,2022,80.81
Kota Tidore Kepulauan,2022,71.55
Fakfak,2022,69.12
Kaimana,2022,66.11
Teluk Wondama,2022,60.87
Teluk Bintuni,2022,65.27
Manokwari,2022,72.6
Sorong Selatan,2022,63.08
Sorong,2022,66.69
Raja Ampat,2022,64.65
Tambrauw,2022,54.63
Maybrat,2022,60.49
Manokwari Selatan,2022,60.68
Pegunungan Arfak,2022,57.01
Kota Sorong,2022,78.98
Raja Ampat,2022,64.65
Sorong,2022,66.69
Sorong Selatan,2022,63.08
Maybrat,2022,60.49
Tambrauw,2022,54.63
Kota Sorong,2022,78.98
Merauke,2022,71.24
Jayawijaya,2022,59.6
Jayapura,2022,72.67
Nabire,2022,69.91
Kepulauan Yapen,2022,68.41
Biak Numfor,2022,72.85
Paniai,2022,57.14
Puncak Jaya,2022,49.84
Mimika,2022,75.08
Boven Digoel,2022,62.52
Mappi,2022,59.61
Asmat,2022,52.22
Yahukimo,2022,50.25
Pegunungan Bintang,2022,47.21
Tolikara,2022,50.51
Sarmi,2022,64.86
Keerom,2022,67.24
Waropen,2022,65.67
Supiori,2022,63.65
Mamberamo Raya,2022,53.1
Nduga,2022,34.1
Lanny Jaya,2022,49.62
Mamberamo Tengah,2022,49.25
Yalimo,2022,49.9
Puncak,2022,43.87
Dogiyai,2022,55.72
Intan Jaya,2022,49.25
Deiyai,2022,50.42
Kota Jayapura,2022,80.61
Merauke,2022,71.24
Boven Digoel,2022,62.52
Mappi,2022,59.61
Asmat,2022,52.22
Mimika,2022,75.08
Dogiyai,2022,55.72
Deiyai,2022,50.42
Nabire,2022,69.91
Paniai,2022,57.14
Intan Jaya,2022,49.25
Puncak,2022,43.87
Puncak Jaya,2022,49.84
Nduga,2022,34.1
Jayawijaya,2022,59.6
Lanny Jaya,2022,49.62
Tolikara,2022,50.51
Mamberamo Tengah,2022,49.25
Yalimo,2022,49.9
Yahukimo,2022,50.25
Pegunungan Bintang,2022,47.21