Kabupaten,Tahun,Persentase Penduduk Miskin (P0)
Pamekasan,2021,15.3
Sumenep,2021,20.51
Kota Kediri,2021,7.75
Kota Blitar,2021,7.89
Kota Malang,2021,4.62
Kota Probolinggo,2021,7.44
Kota Pasuruan,2021,6.88
Kota Mojokerto,2021,6.39
Kota Madiun,2021,5.09
Kota Surabaya,2021,5.23
Kota Batu,2021,4.09
Pandeglang,2021,10.72
Lebak,2021,10.29
Tangerang,2021,7.12
Serang,2021,5.49
Kota Tangerang,2021,5.93
Kota Cilegon,2021,4.24
Kota Serang,2021,6.79
Kota Tangerang Selatan,2021,2.57
Jembrana,2021,5.06
Tabanan,2021,5.12
Badung,2021,2.62
Gianyar,2021,4.85
Klungkung,2021,5.64
Bangli,2021,5.09
Karangasem,2021,6.78
Buleleng,2021,6.12
Kota Denpasar,2021,2.96
Lombok Barat,2021,14.47
Lombok Tengah,2021,13.44
Lombok Timur,2021,15.38
Sumbawa,2021,13.91
Dompu,2021,12.6
Bima,2021,14.88
Sumbawa Barat,2021,13.54
Lombok Utara,2021,27.04
Kota Mataram,2021,8.65
Kota Bima,2021,8.88
Sumba Barat,2021,28.39
Sumba Timur,2021,29.68
Kupang,2021,22.98
Timor Tengah Selatan,2021,26.64
Timor Tengah Utara,2021,22.62
Belu,2021,15.68
Alor,2021,21.09
Lembata,2021,26.21
Flores Timur,2021,11.14
Sikka,2021,13.35
Ende,2021,24.13
Ngada,2021,12.58
Manggarai,2021,20.48
Rote Ndao,2021,28.08
Manggarai Barat,2021,17.92
Sumba Tengah,2021,34.27
Sumba Barat Daya,2021,28.18
Nagekeo,2021,12.91
Manggarai Timur,2021,26.5
Sabu Raijua,2021,30.13
Malaka,2021,16.33
Kota Kupang,2021,9.17
Sambas,2021,7.66
Bengkayang,2021,6.48
Landak,2021,10.99
Mempawah,2021,5.18
Sanggau,2021,4.55
Ketapang,2021,10.13
Sintang,2021,9.28
Kapuas Hulu,2021,8.93
Sekadau,2021,6.26
Melawi,2021,12.01
Kayong Utara,2021,9.33
Kubu Raya,2021,4.34
Kota Pontianak,2021,4.58
Kota Singkawang,2021,4.83
Kotawaringin Barat,2021,3.95
Kotawaringin Timur,2021,5.91
Kapuas,2021,5.35
Barito Selatan,2021,4.62
Barito Utara,2021,5.61
Sukamara,2021,3.66
Lamandau,2021,3.56
Seruyan,2021,7.22
Katingan,2021,5.25
Pulang Pisau,2021,4.24
Gunung Mas,2021,5.35
Barito Timur,2021,6.38
Murung Raya,2021,6.15
Kota Palangka Raya,2021,3.75
Tanah Laut,2021,4.57
Kotabaru,2021,4.86
Banjar,2021,3.04
Barito Kuala,2021,5.11
Tapin,2021,3.6
Hulu Sungai Selatan,2021,4.84
Hulu Sungai Tengah,2021,6.18
Hulu Sungai Utara,2021,6.83
Tabalong,2021,6.27
Tanah Bumbu,2021,4.82
Balangan,2021,6.07
Kota Banjarmasin,2021,4.89
Kota Banjar Baru,2021,4.4
Paser,2021,9.73
Kutai Barat,2021,10.24
Kutai Kartanegara,2021,7.99
Kutai Timur,2021,9.81
Berau,2021,5.88
Penajam Paser Utara,2021,7.61
Mahakam Ulu,2021,11.9
Kota Balikpapan,2021,2.89
Kota Samarinda,2021,4.99
Kota Bontang,2021,4.62
Malinau,2021,7.3
Bulungan,2021,10.03
Tana Tidung,2021,5.15
Nunukan,2021,6.79
Kota Tarakan,2021,6.71
Bolaang Mongondow,2021,7.58
Minahasa,2021,7.67
Kepulauan Sangihe,2021,11.02
Kepulauan Talaud,2021,9
Minahasa Selatan,2021,9.37
Minahasa Utara,2021,7.11
Bolaang Mongondow Utara,2021,8.03
Siau Tagulandang Biaro,2021,8.94
Minahasa Tenggara,2021,12.47
Bolaang Mongondow Selatan,2021,12.85
Bolaang Mongondow Timur,2021,6.1
Kota Manado,2021,6.19
Kota Bitung,2021,6.43
Kota Tomohon,2021,5.69
Kota Kotamobagu,2021,5.74
Banggai Kepulauan,2021,13.72
Banggai,2021,7.83
Morowali,2021,13.75
Poso,2021,15.92
Donggala,2021,16.73
Toli-Toli,2021,13.51
Buol,2021,14.06
Parigi Moutong,2021,15.28
Tojo Una-Una,2021,16.6
Sigi,2021,13.05
Banggai Laut,2021,14.17
Morowali Utara,2021,13.9
Kota Palu,2021,7.17
Kepulauan Selayar,2021,12.45
Bulukumba,2021,7.43
Bantaeng,2021,9.41
Jeneponto,2021,14.28
Takalar,2021,8.25
Gowa,2021,7.54
Sinjai,2021,8.84
Maros,2021,9.57
Pangkajene dan Kepulauan,2021,14.28
Barru,2021,8.68
Bone,2021,10.52
Soppeng,2021,7.53
Wajo,2021,6.46
Sidenreng Rappang,2021,5.04
Pinrang,2021,8.81
Enrekang,2021,12.47
Luwu,2021,12.53
Tana Toraja,2021,12.27
Luwu Utara,2021,13.59
Luwu Timur,2021,6.94
Toraja Utara,2021,11.99
Kota Makasar,2021,4.82
Kota Parepare,2021,5.4
Kota Palopo,2021,8.14
Buton,2021,13.92
Muna,2021,13.54
Konawe,2021,13.03
Kolaka,2021,12.43
Konawe Selatan,2021,11.34
Bombana,2021,10.76
Wakatobi,2021,14.91
Kolaka Utara,2021,13.79
Buton Utara,2021,14.89
Konawe Utara,2021,14.32
Kolaka Timur,2021,14.35
Konawe Kepulauan,2021,17.81
Muna Barat,2021,13.96
Buton Tengah,2021,15.8
Buton Selatan,2021,14.62
Kota Kendari,2021,4.87
Kota Baubau,2021,7.78
Boalemo,2021,19
Gorontalo,2021,17.89
Pohuwato,2021,18.08
Bone Bolango,2021,16.3
Gorontalo Utara,2021,17.23
Kota Gorontalo,2021,5.93
Majene,2021,14.34
Polewali Mandar,2021,15.68
Mamasa,2021,13.77
Mamuju,2021,7.46
Mamuju Utara / Pasangkayu,2021,4.77
Mamuju Tengah,2021,7.13
Maluku Tenggara Barat / Kepulauan Tanimbar,2021,27.27
Maluku Tenggara,2021,22.73
Maluku Tengah,2021,19.84
Buru,2021,17.28
Kepulauan Aru,2021,26.53
Seram Bagian Barat,2021,25.27
Seram Bagian Timur,2021,23.25
Maluku Barat Daya,2021,29.55
Buru Selatan,2021,15.89
Kota Ambon,2021,5.02
Kota Tual,2021,23.26
Halmahera Barat,2021,8.95
Halmahera Tengah,2021,13.52
Kepulauan Sula,2021,8.23
Halmahera Selatan,2021,5.19
Halmahera Utara,2021,5.22
Halmahera Timur,2021,15.04
Pulau Morotai,2021,6.52
Pulau Taliabu,2021,7.49
Kota Ternate,2021,3.55
Kota Tidore Kepulauan,2021,6.58
Fakfak,2021,22.86
Kaimana,2021,16.04
Teluk Wondama,2021,31.61
Teluk Bintuni,2021,29.79
Manokwari,2021,20.56
Sorong Selatan,2021,18.55
Sorong,2021,27.78
Raja Ampat,2021,17.5
Tambrauw,2021,33.86
Maybrat,2021,31.39
Manokwari Selatan,2021,29.3
Pegunungan Arfak,2021,34.7
Kota Sorong,2021,15.35
Merauke,2021,10.16
Jayawijaya,2021,37.09
Jayapura,2021,12.13
Nabire,2021,23.83
Kepulauan Yapen,2021,26.09
Biak Numfor,2021,24.45
Paniai,2021,36.59
Puncak Jaya,2021,36
Mimika,2021,14.17
Boven Digoel,2021,19.9
Mappi,2021,26.05
Asmat,2021,24.83
Yahukimo,2021,37.64
Pegunungan Bintang,2021,30.46
Tolikara,2021,32.6
Sarmi,2021,13.84
Keerom,2021,16
Waropen,2021,29.85
Supiori,2021,37.91
Mamberamo Raya,2021,28.78
Nduga,2021,37.18
Lanny Jaya,2021,38.73
Mamberamo Tengah,2021,28.78
Yalimo,2021,33.25
Puncak,2021,36.26
Dogiyai,2021,28.81
Intan Jaya,2021,41.66
Deiyai,2021,40.59
Kota Jayapura,2021,11.39
Simeulue,2022,18.37
Aceh Singkil,2022,19.18
Aceh Selatan,2022,12.43
Aceh Tenggara,2022,12.83
Aceh Timur,2022,13.91
Aceh Tengah,2022,14.5
Aceh Barat,2022,17.93
Aceh Besar,2022,13.38
Pidie,2022,18.79
Bireuen,2022,12.51
Aceh Utara,2022,16.86
Aceh Barat Daya,2022,15.44
Gayo Lues,2022,18.87
Aceh Tamiang,2022,12.61
Nagan Raya,2022,17.38
Aceh Jaya,2022,12.51
Bener Meriah,2022,18.39
Pidie Jaya,2022,18.45
Kota Banda Aceh,2022,7.13
Kota Sabang,2022,14.66
Kota Langsa,2022,10.62
Kota Lhokseumawe,2022,10.84
Kota Subulussalam,2022,16.94
Nias,2022,16
Mandailing Natal,2022,8.92
Tapanuli Selatan,2022,8.07
Tapanuli Tengah,2022,11.71
Tapanuli Utara,2022,8.93
Toba Samosir / Toba,2022,8.89
Labuhan Batu,2022,8.26
Asahan,2022,8.64
Simalungun,2022,8.26
Dairi,2022,7.88
Karo,2022,8.17
Deli Serdang,2022,3.62
Langkat,2022,9.49
Nias Selatan,2022,16.48
Humbang Hasundutan,2022,8.86
Pakpak Bharat,2022,8.66
Samosir,2022,11.77
Serdang Bedagai,2022,7.82
Batu Bara,2022,11.53
Padang Lawas Utara,2022,8.94
Padang Lawas,2022,8.05
Labuhan Batu Selatan,2022,8.09
Labuhan Batu Utara,2022,9.09
Nias Utara,2022,23.4
Nias Barat,2022,24.75
Kota Sibolga,2022,11.47
Kota Tanjung Balai,2022,12.45
Kota Pematang Siantar,2022,7.88
Kota Tebing Tinggi,2022,9.59
Kota Medan,2022,8.07
Kota Binjai,2022,5.1
Kota Padangsidimpuan,2022,6.89
Kota Gunungsitoli,2022,14.81
Kepulauan Mentawai,2022,13.97
Pesisir Selatan,2022,7.11
Solok,2022,7.12
Sijunjung,2022,6
Tanah Datar,2022,4.26
Padang Pariaman,2022,6.25
Agam,2022,6.22
Lima Puluh Kota,2022,6.59
Pasaman,2022,6.85
Solok Selatan,2022,6.51
Dharmasraya,2022,5.56
Pasaman Barat,2022,6.93
Kota Padang,2022,4.26
Kota Solok,2022,3.02
Kota Sawah Lunto,2022,2.28
Kota Padang Panjang,2022,5.14
Kota Bukittinggi,2022,4.46
Kota Payakumbuh,2022,5.66
Kota Pariaman,2022,4.13
Kuantan Singingi,2022,8.24
Indragiri Hulu,2022,6.14
Indragiri Hilir,2022,5.98
Pelalawan,2022,8.97
Siak,2022,5.07
Kampar,2022,7.12
Rokan Hulu,2022,9.95
Bengkalis,2022,6.32
Rokan Hilir,2022,6.73
Kepulauan Meranti,2022,23.84
Kota Pekanbaru,2022,3.06
Kota Dumai,2022,3.2
Kerinci,2022,7.57
Merangin,2022,8.7
Sarolangun,2022,8.48
Batang Hari,2022,9.63
Muaro Jambi,2022,4.47
Tanjung Jabung Timur,2022,10.91
Tanjung Jabung Barat,2022,10
Tebo,2022,6.34
Bungo,2022,5.38
Kota Jambi,2022,8.33
Kota Sungai Penuh,2022,2.97
Ogan Komering Ulu,2022,11.61
Ogan Komering Ilir,2022,13.23
Muara Enim,2022,11.12
Lahat,2022,15.61
Musi Rawas,2022,13.34
Musi Banyuasin,2022,15.19
Banyu Asin,2022,10
Ogan Komering Ulu Selatan,2022,10.56
Ogan Komering Ulu Timur,2022,10.05
Ogan Ilir,2022,12.33
Empat Lawang,2022,12.03
Penukal Abab Lematang Ilir,2022,11.76
Musi Rawas Utara,2022,18.45
Kota Palembang,2022,10.48
Kota Prabumulih,2022,11.28
Kota Pagar Alam,2022,8.47
Kota Lubuklinggau,2022,12.68
Bengkulu Selatan,2022,17.86
Rejang Lebong,2022,15.65
Bengkulu Utara,2022,11.48
Kaur,2022,18.1
Seluma,2022,18.36
Mukomuko,2022,11.44
Lebong,2022,12.03
Kepahiang,2022,14.53
Bengkulu Tengah,2022,9.76
Kota Bengkulu,2022,15.73
Lampung Barat,2022,11.71
Tanggamus,2022,10.98
Lampung Selatan,2022,13.14
Lampung Timur,2022,13.98
Lampung Tengah,2022,10.96
Lampung Utara,2022,18.41
Way Kanan,2022,11.76
Tulangbawang,2022,8.42
Pesawaran,2022,13.85
Pringsewu,2022,9.34
Mesuji,2022,6.84
Tulang Bawang Barat,2022,7.44
Pesisir Barat,2022,13.84
Kota Bandar Lampung,2022,8.21
Kota Metro,2022,7.87
Bangka,2022,4.26
Belitung,2022,6.45
Bangka Barat,2022,2.46
Bangka Tengah,2022,4.86
Bangka Selatan,2022,3.22
Belitung Timur,2022,6.49
Kota Pangkal Pinang,2022,4.55
Karimun,2022,6.87
Bintan,2022,6.44
Natuna,2022,5.32
Lingga,2022,14.05
Kepulauan Anambas,2022,7.51
Kota Batam,2022,5.19
Kota Tanjung Pinang,2022,9.85
Kep. Seribu,2022,14.11
Kota Jakarta Selatan,2022,3.52
Kota Jakarta Timur,2022,4.3
Kota Jakarta Pusat,2022,4.9
Kota Jakarta Barat,2022,4.22
Kota Jakarta Utara,2022,7.24
Bogor,2022,7.73
Sukabumi,2022,7.34
Cianjur,2022,10.55
Bandung,2022,6.8
Garut,2022,10.42
Tasikmalaya,2022,10.73
Ciamis,2022,7.72
Kuningan,2022,12.76
Cirebon,2022,12.01
Majalengka,2022,11.94
Sumedang,2022,10.14
Indramayu,2022,12.77
Subang,2022,9.75
Purwakarta,2022,8.7
Karawang,2022,8.44
Bekasi,2022,5.01
Bandung Barat,2022,10.82
Pangandaran,2022,9.32
Kota Bogor,2022,7.1
Kota Sukabumi,2022,8.02
Kota Bandung,2022,4.25
Kota Cirebon,2022,9.82
Kota Bekasi,2022,4.43
Kota Depok,2022,2.53
Kota Cimahi,2022,5.11
Kota Tasikmalaya,2022,12.72
Kota Banjar,2022,6.73
Cilacap,2022,11.02
Banyumas,2022,12.84
Purbalingga,2022,15.3
Banjarnegara,2022,15.2
Kebumen,2022,16.41
Purworejo,2022,11.53
Wonosobo,2022,16.17
Magelang,2022,11.09
Boyolali,2022,9.82
Klaten,2022,12.33
Sukoharjo,2022,7.61
Wonogiri,2022,10.99
Karanganyar,2022,9.85
Sragen,2022,12.94
Grobogan,2022,11.8
Blora,2022,11.53
Rembang,2022,14.65
Pati,2022,9.33
Kudus,2022,7.41
Jepara,2022,6.88
Demak,2022,12.09
Semarang,2022,7.27
Temanggung,2022,9.33
Kendal,2022,9.48
Batang,2022,8.98
Pekalongan,2022,9.67
Pemalang,2022,15.06
Tegal,2022,7.9
Brebes,2022,16.05
Kota Magelang,2022,7.1
Kota Surakarta,2022,8.84
Kota Salatiga,2022,4.73
Kota Semarang,2022,4.25
Kota Pekalongan,2022,7
Kota Tegal,2022,7.91
Kulon Progo,2022,16.39
Bantul,2022,12.27
Gunung Kidul,2022,15.86
Sleman,2022,7.74
Kota Yogyakarta,2022,6.62
Pacitan,2022,13.8
Ponorogo,2022,9.32
Trenggalek,2022,10.96
Tulungagung,2022,6.71
Blitar,2022,8.71
Kediri,2022,10.65
Malang,2022,9.55
Lumajang,2022,9.06
Jember,2022,9.39
Banyuwangi,2022,7.51
Bondowoso,2022,13.47
Situbondo,2022,11.78
Probolinggo,2022,17.12
Pasuruan,2022,8.96
Sidoarjo,2022,5.36
Mojokerto,2022,9.71
Jombang,2022,9.04
Nganjuk,2022,10.7
Madiun,2022,10.79
Magetan,2022,9.84
Ngawi,2022,14.15
Bojonegoro,2022,12.21
Tuban,2022,15.02
Lamongan,2022,12.53
Gresik,2022,11.06
Bangkalan,2022,19.44
Sampang,2022,21.61
Pamekasan,2022,13.93
Sumenep,2022,18.76
Kota Kediri,2022,7.23
Kota Blitar,2022,7.37
Kota Malang,2022,4.37
Kota Probolinggo,2022,6.65
Kota Pasuruan,2022,6.37
Kota Mojokerto,2022,5.98
Kota Madiun,2022,4.76
Kota Surabaya,2022,4.72
Kota Batu,2022,3.79
Pandeglang,2022,9.32
Lebak,2022,8.91
Tangerang,2022,6.92
Serang,2022,4.96
Kota Tangerang,2022,5.77
Kota Cilegon,2022,3.64
Kota Serang,2022,5.94
Kota Tangerang Selatan,2022,2.5
Jembrana,2022,5.3
Tabanan,2022,5.18
Badung,2022,2.53
Gianyar,2022,4.7
Klungkung,2022,6.07
Bangli,2022,5.28
Karangasem,2022,6.98
Buleleng,2022,6.21
Kota Denpasar,2022,2.97
Lombok Barat,2022,13.39
Lombok Tengah,2022,12.89
Lombok Timur,2022,15.14
Sumbawa,2022,13.5
Dompu,2022,12.4
Bima,2022,14.5
Sumbawa Barat,2022,13.02
Lombok Utara,2022,25.93
Kota Mataram,2022,8.63
Kota Bima,2022,8.8
Sumba Barat,2022,27.47
Sumba Timur,2022,28.22
Kupang,2022,21.7
Timor Tengah Selatan,2022,25.45
Timor Tengah Utara,2022,21.5
Belu,2022,14.84
Alor,2022,20.25
Lembata,2022,25.18
Flores Timur,2022,10.75
Sikka,2022,12.61
Ende,2022,23
Ngada,2022,11.93
Manggarai,2022,19.84
Rote Ndao,2022,27.45
Manggarai Barat,2022,17.15
Sumba Tengah,2022,32.51
Sumba Barat Daya,2022,27.16
Nagekeo,2022,12.05
Manggarai Timur,2022,25.35
Sabu Raijua,2022,28.73
Malaka,2022,15.26
Kota Kupang,2022,8.61
Sambas,2022,6.92
Bengkayang,2022,6.03
Landak,2022,10.01
Mempawah,2022,5.32
Sanggau,2022,4.51
Ketapang,2022,9.39
Sintang,2022,8.57
Kapuas Hulu,2022,8.59
Sekadau,2022,5.85
Melawi,2022,11.44
Kayong Utara,2022,9.04
Kubu Raya,2022,4.12
Kota Pontianak,2022,4.46
Kota Singkawang,2022,4.67
Kotawaringin Barat,2022,3.93
Kotawaringin Timur,2022,5.95
Kapuas,2022,5.52
Barito Selatan,2022,4.88
Barito Utara,2022,5.8
Sukamara,2022,3.72
Lamandau,2022,3.34
Seruyan,2022,7.43
Katingan,2022,5.5
Pulang Pisau,2022,4.7
Gunung Mas,2022,5.64
Barito Timur,2022,6.59
Murung Raya,2022,6.4
Kota Palangka Raya,2022,3.61
Tanah Laut,2022,3.86
Kotabaru,2022,4.3
Banjar,2022,2.79
Barito Kuala,2022,4.75
Tapin,2022,3.6
Hulu Sungai Selatan,2022,4.54
Hulu Sungai Tengah,2022,5.92
Hulu Sungai Utara,2022,6.49
Tabalong,2022,5.87
Tanah Bumbu,2022,4.26
Balangan,2022,5.83
Kota Banjarmasin,2022,4.74
Kota Banjar Baru,2022,4.17
Paser,2022,9.43
Kutai Barat,2022,10.2
Kutai Kartanegara,2022,7.96
Kutai Timur,2022,9.28
Berau,2022,5.65
Penajam Paser Utara,2022,7.25
Mahakam Ulu,2022,11.55
Kota Balikpapan,2022,2.45
Kota Samarinda,2022,4.85
Kota Bontang,2022,4.54
Malinau,2022,6.64
Bulungan,2022,9.32
Tana Tidung,2022,4.45
Nunukan,2022,6.13
Kota Tarakan,2022,6.3
Bolaang Mongondow,2022,7.04
Minahasa,2022,7.05
Kepulauan Sangihe,2022,10.5
Kepulauan Talaud,2022,8.25
Minahasa Selatan,2022,9
Minahasa Utara,2022,6.6
Bolaang Mongondow Utara,2022,7.31
Siau Tagulandang Biaro,2022,8.2
Minahasa Tenggara,2022,11.78
Bolaang Mongondow Selatan,2022,11.92
Bolaang Mongondow Timur,2022,5.85
Kota Manado,2022,5.85
Kota Bitung,2022,6.2
Kota Tomohon,2022,5.26
Kota Kotamobagu,2022,5.19
Banggai Kepulauan,2022,13.44
Banggai,2022,7.33
Morowali,2022,12.58
Poso,2022,15.18
Donggala,2022,16.3
Toli-Toli,2022,12.74
Buol,2022,12.85
Parigi Moutong,2022,14.63
Tojo Una-Una,2022,16.12
Sigi,2022,12.3
Banggai Laut,2022,13.17
Morowali Utara,2022,12.97
Kota Palu,2022,6.63
Kepulauan Selayar,2022,12.24
Bulukumba,2022,7.39
Bantaeng,2022,9.07
Jeneponto,2022,13.73
Takalar,2022,8.25
Gowa,2022,7.36
Sinjai,2022,8.8
Maros,2022,9.43
Pangkajene dan Kepulauan,2022,13.92
Barru,2022,8.4
Bone,2022,10.58
Soppeng,2022,7.49
Wajo,2022,6.57
Sidenreng Rappang,2022,5.11
Pinrang,2022,8.79
Enrekang,2022,12.39
Luwu,2022,12.49
Tana Toraja,2022,12.18
Luwu Utara,2022,13.22
Luwu Timur,2022,6.81
Toraja Utara,2022,11.65
Kota Makasar,2022,4.58
Kota Parepare,2022,5.41
Kota Palopo,2022,7.78
Buton,2022,13.27
Muna,2022,13.41
Konawe,2022,12.75
Kolaka,2022,11.51
Konawe Selatan,2022,11.08
Bombana,2022,10.26
Wakatobi,2022,14.55
Kolaka Utara,2022,13.08
Buton Utara,2022,14.26
Konawe Utara,2022,13.72
Kolaka Timur,2022,13.57
Konawe Kepulauan,2022,16.15
Muna Barat,2022,13.85
Buton Tengah,2022,14.9
Buton Selatan,2022,14.41
Kota Kendari,2022,4.57
Kota Baubau,2022,7.31
Boalemo,2022,18.74
Gorontalo,2022,15.42
Pohuwato,2022,17.87
Bone Bolango,2022,16.05
Gorontalo Utara,2022,17.24
Kota Gorontalo,2022,5.73
Majene,2022,15.13
Polewali Mandar,2022,16.39
Mamasa,2022,14.51
Mamuju,2022,7.63
Mamuju Utara / Pasangkayu,2022,5.09
Mamuju Tengah,2022,7.17
Maluku Tenggara Barat / Kepulauan Tanimbar,2022,23.88
Maluku Tenggara,2022,21.19
Maluku Tengah,2022,17.46
Buru,2022,15.82
Kepulauan Aru,2022,23.51
Seram Bagian Barat,2022,22.25
Seram Bagian Timur,2022,20.73
Maluku Barat Daya,2022,27.64
Buru Selatan,2022,14.75
Kota Ambon,2022,4.68
Kota Tual,2022,20.56
Halmahera Barat,2022,8.43
Halmahera Tengah,2022,12
Kepulauan Sula,2022,7.64
Halmahera Selatan,2022,4.99
Halmahera Utara,2022,4.58
Halmahera Timur,2022,13.14
Pulau Morotai,2022,5.42
Pulau Taliabu,2022,6.88
Kota Ternate,2022,3.11
Kota Tidore Kepulauan,2022,5.99
Fakfak,2022,22.06
Kaimana,2022,15.29
Teluk Wondama,2022,30.06
Teluk Bintuni,2022,29.73
Manokwari,2022,19.9
Sorong Selatan,2022,18.48
Sorong,2022,27.58
Raja Ampat,2022,17.32
Tambrauw,2022,32.45
Maybrat,2022,31.14
Manokwari Selatan,2022,28.55
Pegunungan Arfak,2022,33.71
Kota Sorong,2022,14.96
Merauke,2022,10.1
Jayawijaya,2022,35.8
Jayapura,2022,11.94
Nabire,2022,23.9
Kepulauan Yapen,2022,26.15
Biak Numfor,2022,24.48
Paniai,2022,36.63
Puncak Jaya,2022,36.3
Mimika,2022,14.28
Boven Digoel,2022,20.04
Mappi,2022,26.04
Asmat,2022,24.87
Yahukimo,2022,36.21
Pegunungan Bintang,2022,30.32
Tolikara,2022,31.31
Sarmi,2022,13.76
Keerom,2022,15.77
Waropen,2022,30.22
Supiori,2022,37.7
Mamberamo Raya,2022,30.73
Nduga,2022,36.73
Lanny Jaya,2022,37.76
Mamberamo Tengah,2022,35.92
Yalimo,2022,31.68
Puncak,2022,36.25
Dogiyai,2022,29.48
Intan Jaya,2022,42.03
Deiyai,2022,40.31
Kota Jayapura,2022,11.12