Kabupaten,Tahun,Proporsi Perempuan Pernah Kawin 15-49 tahun yang Melahirkan Anak Lahir Hidup Yang Pertama Kali Berumur Kurang dari 20 tahun Menurut Kabupaten/Kota
Bangkalan,2021,0.268
Sampang,2021,0.345
Pamekasan,2021,0.329
Sumenep,2021,0.406
Kota Kediri,2021,0.122
Kota Blitar,2021,0.158
Kota Malang,2021,0.135
Kota Probolinggo,2021,0.255
Kota Pasuruan,2021,0.156
Kota Mojokerto,2021,0.122
Kota Madiun,2021,0.064
Kota Surabaya,2021,0.149
Kota Batu,2021,0.25
Pandeglang,2021,0.385
Lebak,2021,0.436
Tangerang,2021,0.237
Serang,2021,0.29
Kota Tangerang,2021,0.166
Kota Cilegon,2021,0.197
Kota Serang,2021,0.247
Kota Tangerang Selatan,2021,0.162
Jembrana,2021,0.266
Tabanan,2021,0.15
Badung,2021,0.119
Gianyar,2021,0.148
Klungkung,2021,0.179
Bangli,2021,0.308
Karangasem,2021,0.272
Buleleng,2021,0.269
Kota Denpasar,2021,0.147
Lombok Barat,2021,0.376
Lombok Tengah,2021,0.376
Lombok Timur,2021,0.333
Sumbawa,2021,0.217
Dompu,2021,0.254
Bima,2021,0.2
Sumbawa Barat,2021,0.201
Lombok Utara,2021,0.302
Kota Mataram,2021,0.277
Kota Bima,2021,0.166
Sumba Barat,2021,0.184
Sumba Timur,2021,0.232
Kupang,2021,0.18
Timor Tengah Selatan,2021,0.199
Timor Tengah Utara,2021,0.268
Belu,2021,0.218
Alor,2021,0.199
Lembata,2021,0.152
Flores Timur,2021,0.183
Sikka,2021,0.197
Ende,2021,0.149
Ngada,2021,0.147
Manggarai,2021,0.173
Rote Ndao,2021,0.265
Manggarai Barat,2021,0.189
Sumba Tengah,2021,0.132
Sumba Barat Daya,2021,0.16
Nagekeo,2021,0.114
Manggarai Timur,2021,0.231
Sabu Raijua,2021,0.271
Malaka,2021,0.228
Kota Kupang,2021,0.117
Sambas,2021,0.239
Bengkayang,2021,0.29
Landak,2021,0.395
Mempawah,2021,0.312
Sanggau,2021,0.368
Ketapang,2021,0.346
Sintang,2021,0.405
Kapuas Hulu,2021,0.44
Sekadau,2021,0.421
Melawi,2021,0.466
Kayong Utara,2021,0.354
Kubu Raya,2021,0.289
Kota Pontianak,2021,0.186
Kota Singkawang,2021,0.25
Kotawaringin Barat,2021,0.339
Kotawaringin Timur,2021,0.386
Kapuas,2021,0.406
Barito Selatan,2021,0.396
Barito Utara,2021,0.362
Sukamara,2021,0.388
Lamandau,2021,0.383
Seruyan,2021,0.419
Katingan,2021,0.379
Pulang Pisau,2021,0.392
Gunung Mas,2021,0.423
Barito Timur,2021,0.339
Murung Raya,2021,0.472
Kota Palangka Raya,2021,0.224
Tanah Laut,2021,0.342
Kotabaru,2021,0.429
Banjar,2021,0.373
Barito Kuala,2021,0.275
Tapin,2021,0.364
Hulu Sungai Selatan,2021,0.328
Hulu Sungai Tengah,2021,0.263
Hulu Sungai Utara,2021,0.33
Tabalong,2021,0.298
Tanah Bumbu,2021,0.421
Balangan,2021,0.395
Kota Banjarmasin,2021,0.206
Kota Banjar Baru,2021,0.206
Paser,2021,0.337
Kutai Barat,2021,0.416
Kutai Kartanegara,2021,0.294
Kutai Timur,2021,0.371
Berau,2021,0.308
Penajam Paser Utara,2021,0.333
Mahakam Ulu,2021,0.337
Kota Balikpapan,2021,0.131
Kota Samarinda,2021,0.224
Kota Bontang,2021,0.218
Malinau,2021,0.375
Bulungan,2021,0.293
Tana Tidung,2021,0.341
Nunukan,2021,0.352
Kota Tarakan,2021,0.221
Bolaang Mongondow,2021,0.38
Minahasa,2021,0.335
Kepulauan Sangihe,2021,0.223
Kepulauan Talaud,2021,0.252
Minahasa Selatan,2021,0.312
Minahasa Utara,2021,0.289
Bolaang Mongondow Utara,2021,0.383
Siau Tagulandang Biaro,2021,0.236
Minahasa Tenggara,2021,0.387
Bolaang Mongondow Selatan,2021,0.38
Bolaang Mongondow Timur,2021,0.432
Kota Manado,2021,0.177
Kota Bitung,2021,0.299
Kota Tomohon,2021,0.267
Kota Kotamobagu,2021,0.27
Banggai Kepulauan,2021,0.387
Banggai,2021,0.368
Morowali,2021,0.348
Poso,2021,0.327
Donggala,2021,0.36
Toli-Toli,2021,0.356
Buol,2021,0.292
Parigi Moutong,2021,0.379
Tojo Una-Una,2021,0.383
Sigi,2021,0.354
Banggai Laut,2021,0.395
Morowali Utara,2021,0.298
Kota Palu,2021,0.265
Kepulauan Selayar,2021,0.254
Bulukumba,2021,0.29
Bantaeng,2021,0.294
Jeneponto,2021,0.345
Takalar,2021,0.263
Gowa,2021,0.3
Sinjai,2021,0.273
Maros,2021,0.285
Pangkajene dan Kepulauan,2021,0.284
Barru,2021,0.262
Bone,2021,0.336
Soppeng,2021,0.3
Wajo,2021,0.3
Sidenreng Rappang,2021,0.226
Pinrang,2021,0.256
Enrekang,2021,0.202
Luwu,2021,0.26
Tana Toraja,2021,0.268
Luwu Utara,2021,0.369
Luwu Timur,2021,0.311
Toraja Utara,2021,0.253
Kota Makasar,2021,0.203
Kota Parepare,2021,0.192
Kota Palopo,2021,0.232
Buton,2021,0.315
Muna,2021,0.249
Konawe,2021,0.398
Kolaka,2021,0.363
Konawe Selatan,2021,0.411
Bombana,2021,0.396
Wakatobi,2021,0.346
Kolaka Utara,2021,0.397
Buton Utara,2021,0.381
Konawe Utara,2021,0.408
Kolaka Timur,2021,0.411
Konawe Kepulauan,2021,0.295
Muna Barat,2021,0.309
Buton Tengah,2021,0.351
Buton Selatan,2021,0.262
Kota Kendari,2021,0.205
Kota Baubau,2021,0.296
Boalemo,2021,0.405
Gorontalo,2021,0.349
Pohuwato,2021,0.425
Bone Bolango,2021,0.297
Gorontalo Utara,2021,0.343
Kota Gorontalo,2021,0.153
Majene,2021,0.276
Polewali Mandar,2021,0.333
Mamasa,2021,0.32
Mamuju,2021,0.434
Mamuju Utara / Pasangkayu,2021,0.425
Mamuju Tengah,2021,0.339
Maluku Tenggara Barat / Kepulauan Tanimbar,2021,0.24
Maluku Tenggara,2021,0.193
Maluku Tengah,2021,0.219
Buru,2021,0.282
Kepulauan Aru,2021,0.212
Seram Bagian Barat,2021,0.23
Seram Bagian Timur,2021,0.246
Maluku Barat Daya,2021,0.177
Buru Selatan,2021,0.262
Kota Ambon,2021,0.129
Kota Tual,2021,0.219
Halmahera Barat,2021,0.355
Halmahera Tengah,2021,0.339
Kepulauan Sula,2021,0.24
Halmahera Selatan,2021,0.35
Halmahera Utara,2021,0.353
Halmahera Timur,2021,0.404
Pulau Morotai,2021,0.351
Pulau Taliabu,2021,0.377
Kota Ternate,2021,0.22
Kota Tidore Kepulauan,2021,0.221
Fakfak,2021,0.261
Kaimana,2021,0.207
Teluk Wondama,2021,0.312
Teluk Bintuni,2021,0.31
Manokwari,2021,0.33
Sorong Selatan,2021,0.275
Sorong,2021,0.318
Raja Ampat,2021,0.31
Tambrauw,2021,0.267
Maybrat,2021,0.279
Manokwari Selatan,2021,0.312
Pegunungan Arfak,2021,0.446
Kota Sorong,2021,0.235
Merauke,2021,0.344
Jayawijaya,2021,0.158
Jayapura,2021,0.296
Nabire,2021,0.317
Kepulauan Yapen,2021,0.231
Biak Numfor,2021,0.22
Paniai,2021,0.298
Puncak Jaya,2021,0.178
Mimika,2021,0.298
Boven Digoel,2021,0.297
Mappi,2021,0.4
Asmat,2021,0.308
Yahukimo,2021,0.389
Pegunungan Bintang,2021,0.379
Tolikara,2021,0.131
Sarmi,2021,0.204
Keerom,2021,0.288
Waropen,2021,0.278
Supiori,2021,0.249
Mamberamo Raya,2021,0.336
Nduga,2021,0.255
Lanny Jaya,2021,0.164
Mamberamo Tengah,2021,0.152
Yalimo,2021,0.189
Puncak,2021,0.345
Dogiyai,2021,0.336
Intan Jaya,2021,0.487
Deiyai,2021,0.082
Kota Jayapura,2021,0.232
Simeulue,2022,0.221
Aceh Singkil,2022,0.311
Aceh Selatan,2022,0.195
Aceh Tenggara,2022,0.231
Aceh Timur,2022,0.241
Aceh Tengah,2022,0.259
Aceh Barat,2022,0.195
Aceh Besar,2022,0.185
Pidie,2022,0.132
Bireuen,2022,0.168
Aceh Utara,2022,0.22
Aceh Barat Daya,2022,0.256
Gayo Lues,2022,0.308
Aceh Tamiang,2022,0.21
Nagan Raya,2022,0.288
Aceh Jaya,2022,0.36
Bener Meriah,2022,0.212
Pidie Jaya,2022,0.146
Kota Banda Aceh,2022,0.072
Kota Sabang,2022,0.168
Kota Langsa,2022,0.15
Kota Lhokseumawe,2022,0.182
Kota Subulussalam,2022,0.355
Nias,2022,0.269
Mandailing Natal,2022,0.234
Tapanuli Selatan,2022,0.152
Tapanuli Tengah,2022,0.14
Tapanuli Utara,2022,0.084
Toba Samosir / Toba,2022,0.072
Labuhan Batu,2022,0.199
Asahan,2022,0.157
Simalungun,2022,0.151
Dairi,2022,0.068
Karo,2022,0.145
Deli Serdang,2022,0.149
Langkat,2022,0.221
Nias Selatan,2022,0.305
Humbang Hasundutan,2022,0.096
Pakpak Bharat,2022,0.109
Samosir,2022,0.069
Serdang Bedagai,2022,0.173
Batu Bara,2022,0.215
Padang Lawas Utara,2022,0.22
Padang Lawas,2022,0.276
Labuhan Batu Selatan,2022,0.192
Labuhan Batu Utara,2022,0.23
Nias Utara,2022,0.268
Nias Barat,2022,0.21
Kota Sibolga,2022,0.13
Kota Tanjung Balai,2022,0.204
Kota Pematang Siantar,2022,0.079
Kota Tebing Tinggi,2022,0.111
Kota Medan,2022,0.089
Kota Binjai,2022,0.14
Kota Padangsidimpuan,2022,0.112
Kota Gunungsitoli,2022,0.173
Kepulauan Mentawai,2022,0.359
Pesisir Selatan,2022,0.201
Solok,2022,0.222
Sijunjung,2022,0.327
Tanah Datar,2022,0.124
Padang Pariaman,2022,0.11
Agam,2022,0.095
Lima Puluh Kota,2022,0.26
Pasaman,2022,0.226
Solok Selatan,2022,0.251
Dharmasraya,2022,0.263
Pasaman Barat,2022,0.224
Kota Padang,2022,0.077
Kota Solok,2022,0.106
Kota Sawah Lunto,2022,0.135
Kota Padang Panjang,2022,0.142
Kota Bukittinggi,2022,0.037
Kota Payakumbuh,2022,0.097
Kota Pariaman,2022,0.064
Kuantan Singingi,2022,0.286
Indragiri Hulu,2022,0.293
Indragiri Hilir,2022,0.32
Pelalawan,2022,0.26
Siak,2022,0.142
Kampar,2022,0.225
Rokan Hulu,2022,0.269
Bengkalis,2022,0.14
Rokan Hilir,2022,0.258
Kepulauan Meranti,2022,0.174
Kota Pekanbaru,2022,0.09
Kota Dumai,2022,0.131
Kerinci,2022,0.328
Merangin,2022,0.412
Sarolangun,2022,0.355
Batang Hari,2022,0.332
Muaro Jambi,2022,0.251
Tanjung Jabung Timur,2022,0.375
Tanjung Jabung Barat,2022,0.311
Tebo,2022,0.393
Bungo,2022,0.437
Kota Jambi,2022,0.081
Kota Sungai Penuh,2022,0.219
Ogan Komering Ulu,2022,0.329
Ogan Komering Ilir,2022,0.387
Muara Enim,2022,0.351
Lahat,2022,0.269
Musi Rawas,2022,0.358
Musi Banyuasin,2022,0.382
Banyu Asin,2022,0.287
Ogan Komering Ulu Selatan,2022,0.339
Ogan Komering Ulu Timur,2022,0.364
Ogan Ilir,2022,0.304
Empat Lawang,2022,0.323
Penukal Abab Lematang Ilir,2022,0.456
Musi Rawas Utara,2022,0.391
Kota Palembang,2022,0.158
Kota Prabumulih,2022,0.205
Kota Pagar Alam,2022,0.182
Kota Lubuklinggau,2022,0.299
Bengkulu Selatan,2022,0.281
Rejang Lebong,2022,0.331
Bengkulu Utara,2022,0.32
Kaur,2022,0.371
Seluma,2022,0.393
Mukomuko,2022,0.401
Lebong,2022,0.341
Kepahiang,2022,0.361
Bengkulu Tengah,2022,0.44
Kota Bengkulu,2022,0.178
Lampung Barat,2022,0.334
Tanggamus,2022,0.251
Lampung Selatan,2022,0.308
Lampung Timur,2022,0.237
Lampung Tengah,2022,0.277
Lampung Utara,2022,0.296
Way Kanan,2022,0.383
Tulangbawang,2022,0.378
Pesawaran,2022,0.272
Pringsewu,2022,0.228
Mesuji,2022,0.354
Tulang Bawang Barat,2022,0.341
Pesisir Barat,2022,0.245
Kota Bandar Lampung,2022,0.162
Kota Metro,2022,0.14
Bangka,2022,0.306
Belitung,2022,0.322
Bangka Barat,2022,0.374
Bangka Tengah,2022,0.35
Bangka Selatan,2022,0.435
Belitung Timur,2022,0.338
Kota Pangkal Pinang,2022,0.127
Karimun,2022,0.169
Bintan,2022,0.173
Natuna,2022,0.287
Lingga,2022,0.203
Kepulauan Anambas,2022,0.295
Kota Batam,2022,0.088
Kota Tanjung Pinang,2022,0.091
Kep. Seribu,2022,0.336
Kota Jakarta Selatan,2022,0.11
Kota Jakarta Timur,2022,0.115
Kota Jakarta Pusat,2022,0.102
Kota Jakarta Barat,2022,0.17
Kota Jakarta Utara,2022,0.2
Bogor,2022,0.328
Sukabumi,2022,0.396
Cianjur,2022,0.426
Bandung,2022,0.308
Garut,2022,0.4
Tasikmalaya,2022,0.347
Ciamis,2022,0.298
Kuningan,2022,0.228
Cirebon,2022,0.256
Majalengka,2022,0.326
Sumedang,2022,0.338
Indramayu,2022,0.337
Subang,2022,0.334
Purwakarta,2022,0.371
Karawang,2022,0.33
Bekasi,2022,0.264
Bandung Barat,2022,0.408
Pangandaran,2022,0.3
Kota Bogor,2022,0.197
Kota Sukabumi,2022,0.228
Kota Bandung,2022,0.202
Kota Cirebon,2022,0.203
Kota Bekasi,2022,0.152
Kota Depok,2022,0.14
Kota Cimahi,2022,0.174
Kota Tasikmalaya,2022,0.187
Kota Banjar,2022,0.261
Cilacap,2022,0.265
Banyumas,2022,0.21
Purbalingga,2022,0.333
Banjarnegara,2022,0.414
Kebumen,2022,0.178
Purworejo,2022,0.193
Wonosobo,2022,0.425
Magelang,2022,0.258
Boyolali,2022,0.237
Klaten,2022,0.155
Sukoharjo,2022,0.152
Wonogiri,2022,0.217
Karanganyar,2022,0.183
Sragen,2022,0.229
Grobogan,2022,0.424
Blora,2022,0.343
Rembang,2022,0.354
Pati,2022,0.291
Kudus,2022,0.216
Jepara,2022,0.345
Demak,2022,0.295
Semarang,2022,0.231
Temanggung,2022,0.38
Kendal,2022,0.255
Batang,2022,0.361
Pekalongan,2022,0.277
Pemalang,2022,0.332
Tegal,2022,0.19
Brebes,2022,0.361
Kota Magelang,2022,0.111
Kota Surakarta,2022,0.102
Kota Salatiga,2022,0.161
Kota Semarang,2022,0.103
Kota Pekalongan,2022,0.104
Kota Tegal,2022,0.18
Kulon Progo,2022,0.087
Bantul,2022,0.1
Gunung Kidul,2022,0.261
Sleman,2022,0.128
Kota Yogyakarta,2022,0.119
Pacitan,2022,0.26
Ponorogo,2022,0.165
Trenggalek,2022,0.283
Tulungagung,2022,0.181
Blitar,2022,0.19
Kediri,2022,0.222
Malang,2022,0.301
Lumajang,2022,0.379
Jember,2022,0.44
Banyuwangi,2022,0.276
Bondowoso,2022,0.47
Situbondo,2022,0.413
Probolinggo,2022,0.54
Pasuruan,2022,0.325
Sidoarjo,2022,0.121
Mojokerto,2022,0.249
Jombang,2022,0.212
Nganjuk,2022,0.216
Madiun,2022,0.158
Magetan,2022,0.159
Ngawi,2022,0.207
Bojonegoro,2022,0.281
Tuban,2022,0.248
Lamongan,2022,0.211
Gresik,2022,0.177
Bangkalan,2022,0.268
Sampang,2022,0.345
Pamekasan,2022,0.329
Sumenep,2022,0.406
Kota Kediri,2022,0.122
Kota Blitar,2022,0.158
Kota Malang,2022,0.135
Kota Probolinggo,2022,0.255
Kota Pasuruan,2022,0.156
Kota Mojokerto,2022,0.122
Kota Madiun,2022,0.064
Kota Surabaya,2022,0.149
Kota Batu,2022,0.25
Pandeglang,2022,0.385
Lebak,2022,0.436
Tangerang,2022,0.237
Serang,2022,0.29
Kota Tangerang,2022,0.166
Kota Cilegon,2022,0.197
Kota Serang,2022,0.247
Kota Tangerang Selatan,2022,0.162
Jembrana,2022,0.266
Tabanan,2022,0.15
Badung,2022,0.119
Gianyar,2022,0.148
Klungkung,2022,0.179
Bangli,2022,0.308
Karangasem,2022,0.272
Buleleng,2022,0.269
Kota Denpasar,2022,0.147
Lombok Barat,2022,0.376
Lombok Tengah,2022,0.376
Lombok Timur,2022,0.333
Sumbawa,2022,0.217
Dompu,2022,0.254
Bima,2022,0.2
Sumbawa Barat,2022,0.201
Lombok Utara,2022,0.302
Kota Mataram,2022,0.277
Kota Bima,2022,0.166
Sumba Barat,2022,0.184
Sumba Timur,2022,0.232
Kupang,2022,0.18
Timor Tengah Selatan,2022,0.199
Timor Tengah Utara,2022,0.268
Belu,2022,0.218
Alor,2022,0.199
Lembata,2022,0.152
Flores Timur,2022,0.183
Sikka,2022,0.197
Ende,2022,0.149
Ngada,2022,0.147
Manggarai,2022,0.173
Rote Ndao,2022,0.265
Manggarai Barat,2022,0.189
Sumba Tengah,2022,0.132
Sumba Barat Daya,2022,0.16
Nagekeo,2022,0.114
Manggarai Timur,2022,0.231
Sabu Raijua,2022,0.271
Malaka,2022,0.228
Kota Kupang,2022,0.117
Sambas,2022,0.239
Bengkayang,2022,0.29
Landak,2022,0.395
Mempawah,2022,0.312
Sanggau,2022,0.368
Ketapang,2022,0.346
Sintang,2022,0.405
Kapuas Hulu,2022,0.44
Sekadau,2022,0.421
Melawi,2022,0.466
Kayong Utara,2022,0.354
Kubu Raya,2022,0.289
Kota Pontianak,2022,0.186
Kota Singkawang,2022,0.25
Kotawaringin Barat,2022,0.339
Kotawaringin Timur,2022,0.386
Kapuas,2022,0.406
Barito Selatan,2022,0.396
Barito Utara,2022,0.362
Sukamara,2022,0.388
Lamandau,2022,0.383
Seruyan,2022,0.419
Katingan,2022,0.379
Pulang Pisau,2022,0.392
Gunung Mas,2022,0.423
Barito Timur,2022,0.339
Murung Raya,2022,0.472
Kota Palangka Raya,2022,0.224
Tanah Laut,2022,0.342
Kotabaru,2022,0.429
Banjar,2022,0.373
Barito Kuala,2022,0.275
Tapin,2022,0.364
Hulu Sungai Selatan,2022,0.328
Hulu Sungai Tengah,2022,0.263
Hulu Sungai Utara,2022,0.33
Tabalong,2022,0.298
Tanah Bumbu,2022,0.421
Balangan,2022,0.395
Kota Banjarmasin,2022,0.206
Kota Banjar Baru,2022,0.206
Paser,2022,0.337
Kutai Barat,2022,0.416
Kutai Kartanegara,2022,0.294
Kutai Timur,2022,0.371
Berau,2022,0.308
Penajam Paser Utara,2022,0.333
Mahakam Ulu,2022,0.337
Kota Balikpapan,2022,0.131
Kota Samarinda,2022,0.224
Kota Bontang,2022,0.218
Malinau,2022,0.375
Bulungan,2022,0.293
Tana Tidung,2022,0.341
Nunukan,2022,0.352
Kota Tarakan,2022,0.221
Bolaang Mongondow,2022,0.38
Minahasa,2022,0.335
Kepulauan Sangihe,2022,0.223
Kepulauan Talaud,2022,0.252
Minahasa Selatan,2022,0.312
Minahasa Utara,2022,0.289
Bolaang Mongondow Utara,2022,0.383
Siau Tagulandang Biaro,2022,0.236
Minahasa Tenggara,2022,0.387
Bolaang Mongondow Selatan,2022,0.38
Bolaang Mongondow Timur,2022,0.432
Kota Manado,2022,0.177
Kota Bitung,2022,0.299
Kota Tomohon,2022,0.267
Kota Kotamobagu,2022,0.27
Banggai Kepulauan,2022,0.387
Banggai,2022,0.368
Morowali,2022,0.348
Poso,2022,0.327
Donggala,2022,0.36
Toli-Toli,2022,0.356
Buol,2022,0.292
Parigi Moutong,2022,0.379
Tojo Una-Una,2022,0.383
Sigi,2022,0.354
Banggai Laut,2022,0.395
Morowali Utara,2022,0.298
Kota Palu,2022,0.265
Kepulauan Selayar,2022,0.254
Bulukumba,2022,0.29
Bantaeng,2022,0.294
Jeneponto,2022,0.345
Takalar,2022,0.263
Gowa,2022,0.3
Sinjai,2022,0.273
Maros,2022,0.285
Pangkajene dan Kepulauan,2022,0.284
Barru,2022,0.262
Bone,2022,0.336
Soppeng,2022,0.3
Wajo,2022,0.3
Sidenreng Rappang,2022,0.226
Pinrang,2022,0.256
Enrekang,2022,0.202
Luwu,2022,0.26
Tana Toraja,2022,0.268
Luwu Utara,2022,0.369
Luwu Timur,2022,0.311
Toraja Utara,2022,0.253
Kota Makasar,2022,0.203
Kota Parepare,2022,0.192
Kota Palopo,2022,0.232
Buton,2022,0.315
Muna,2022,0.249
Konawe,2022,0.398
Kolaka,2022,0.363
Konawe Selatan,2022,0.411
Bombana,2022,0.396
Wakatobi,2022,0.346
Kolaka Utara,2022,0.397
Buton Utara,2022,0.381
Konawe Utara,2022,0.408
Kolaka Timur,2022,0.411
Konawe Kepulauan,2022,0.295
Muna Barat,2022,0.309
Buton Tengah,2022,0.351
Buton Selatan,2022,0.262
Kota Kendari,2022,0.205
Kota Baubau,2022,0.296
Boalemo,2022,0.405
Gorontalo,2022,0.349
Pohuwato,2022,0.425
Bone Bolango,2022,0.297
Gorontalo Utara,2022,0.343
Kota Gorontalo,2022,0.153
Majene,2022,0.276
Polewali Mandar,2022,0.333
Mamasa,2022,0.32
Mamuju,2022,0.434
Mamuju Utara / Pasangkayu,2022,0.425
Mamuju Tengah,2022,0.339
Maluku Tenggara Barat / Kepulauan Tanimbar,2022,0.24
Maluku Tenggara,2022,0.193
Maluku Tengah,2022,0.219
Buru,2022,0.282
Kepulauan Aru,2022,0.212
Seram Bagian Barat,2022,0.23
Seram Bagian Timur,2022,0.246
Maluku Barat Daya,2022,0.177
Buru Selatan,2022,0.262
Kota Ambon,2022,0.129
Kota Tual,2022,0.219
Halmahera Barat,2022,0.355
Halmahera Tengah,2022,0.339
Kepulauan Sula,2022,0.24
Halmahera Selatan,2022,0.35
Halmahera Utara,2022,0.353
Halmahera Timur,2022,0.404
Pulau Morotai,2022,0.351
Pulau Taliabu,2022,0.377
Kota Ternate,2022,0.22
Kota Tidore Kepulauan,2022,0.221
Fakfak,2022,0.261
Kaimana,2022,0.207
Teluk Wondama,2022,0.312
Teluk Bintuni,2022,0.31
Manokwari,2022,0.33
Sorong Selatan,2022,0.275
Sorong,2022,0.318
Raja Ampat,2022,0.31
Tambrauw,2022,0.267
Maybrat,2022,0.279
Manokwari Selatan,2022,0.312
Pegunungan Arfak,2022,0.446
Kota Sorong,2022,0.235
Merauke,2022,0.344
Jayawijaya,2022,0.158
Jayapura,2022,0.296
Nabire,2022,0.317
Kepulauan Yapen,2022,0.231
Biak Numfor,2022,0.22
Paniai,2022,0.298
Puncak Jaya,2022,0.178
Mimika,2022,0.298
Boven Digoel,2022,0.297
Mappi,2022,0.4
Asmat,2022,0.308
Yahukimo,2022,0.389
Pegunungan Bintang,2022,0.379
Tolikara,2022,0.131
Sarmi,2022,0.204
Keerom,2022,0.288
Waropen,2022,0.278
Supiori,2022,0.249
Mamberamo Raya,2022,0.336
Nduga,2022,0.255
Lanny Jaya,2022,0.164
Mamberamo Tengah,2022,0.152
Yalimo,2022,0.189
Puncak,2022,0.345
Dogiyai,2022,0.336
Intan Jaya,2022,0.487
Deiyai,2022,0.082
Kota Jayapura,2022,0.232